data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"04/04/2023";"23:03:00";"355";"ac02 - Aci";"706";"BR-365/MG";"Oeste";"Colisão lateral no mesmo sentido";0;0;3;0;0;0;0;0;0;0;2;1;0;0;0
"05/04/2023";"03:13:00";"18";"ac03 - Aci";"54,8";"BR-364/GO";"Leste";"Choque - Sinalização";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"05/04/2023";"18:39:00";"326";"ac03 - Aci";"631,17";"BR-365/MG";"Leste";"Colisão lateral no mesmo sentido";0;0;1;0;0;0;0;0;0;1;2;0;0;0;0
"06/04/2023";"20:48:00";"392";"ac03 - Aci";"843,5";"BR-365/MG";"Oeste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"06/04/2023";"21:53:00";"406";"ac03 - Aci";"59";"BR-364/GO";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;7;0;0;0;0
"07/04/2023";"03:01:00";"22";"ac02 - Aci";"726,9";"BR-365/MG";"Leste";"Choque - Defensa metálica";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"07/04/2023";"11:39:00";"176";"ac02 - Aci";"656,034";"BR-365/MG";"Leste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"07/04/2023";"17:42:00";"277";"ac03 - Aci";"676,24";"BR-365/MG";"Leste";"Capotamento";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"08/04/2023";"16:46:00";"167";"ac03 - Aci";"652,8";"BR-365/MG";"Leste";"Choque - Sinalização";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"09/04/2023";"13:13:00";"131";"ac03 - Aci";"706";"BR-365/MG";"Leste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;1;6;0;0;0;0
"09/04/2023";"14:47:00";"162";"ac02 - Aci";"683";"BR-365/MG";"Leste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"09/04/2023";"15:56:00";"195";"ac02 - Aci";"93,32";"BR-364/GO";"Oeste";"Engavetamento";1;0;0;0;0;0;0;0;0;2;6;4;0;0;0
"09/04/2023";"16:05:00";"201";"ac03 - Aci";"749";"BR-365/MG";"Leste";"Choque - Defensa metálica";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"09/04/2023";"16:28:00";"215";"ac03 - Aci";"683,75";"BR-365/MG";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;6;0;0;0;0
"09/04/2023";"19:31:00";"289";"ac03 - Aci";"794,52";"BR-365/MG";"Leste";"Choque - Elemento de Drenagem";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"10/04/2023";"05:58:00";"31";"ac04 - Aci";"159";"BR-364/GO";"Leste";"Choque - Outros";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"11/04/2023";"16:21:00";"290";"ac03 - Aci";"835,95";"BR-365/MG";"Leste";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"13/04/2023";"14:49:00";"229";"ac03 - Aci";"149";"BR-364/GO";"Oeste";"Choque - Sinalização";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"14/04/2023";"06:53:00";"45";"ac03 - Aci";"706,6";"BR-365/MG";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"14/04/2023";"16:24:00";"255";"ac02 - Aci";"4,97";"BR-364/GO";"Leste";"Choque - Talude ou Barranco";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"15/04/2023";"01:32:00";"4";"ac03 - Aci";"706";"BR-365/MG";"Leste";"Choque - Meio fio";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"15/04/2023";"18:50:00";"308";"ac03 - Aci";"828,5";"BR-365/MG";"Oeste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"16/04/2023";"20:43:00";"270";"ac03 - Aci";"795";"BR-365/MG";"Leste";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"18/04/2023";"21:27:00";"371";"ac03 - Aci";"660,1";"BR-365/MG";"Oeste";"Objeto lançado contra veículo";0;0;1;0;0;0;0;0;0;1;2;0;0;0;0
"19/04/2023";"02:53:00";"16";"ac03 - Aci";"739,72";"BR-365/MG";"Oeste";"Choque - Elemento de Drenagem";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"19/04/2023";"10:30:00";"176";"ac03 - Aci";"642,9";"BR-365/MG";"Leste";"Choque - Talude ou Barranco";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"19/04/2023";"10:48:00";"182";"ac02 - Aci";"630,36";"BR-365/MG";"Leste";"Choque - Defensa metálica";0;0;0;0;0;0;0;0;0;1;0;1;1;1;0
"19/04/2023";"18:40:00";"342";"ac03 - Aci";"646,9";"BR-365/MG";"Leste";"Colisão Transversal";0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"19/04/2023";"19:05:00";"347";"ac03 - Aci";"647,3";"BR-365/MG";"Leste";"Colisão Traseira";0;0;0;0;0;2;0;0;0;1;2;0;0;0;0
"20/04/2023";"17:09:00";"258";"ac03 - Aci";"794,05";"BR-365/MG";"Oeste";"Colisão Traseira";1;0;0;0;0;1;0;0;0;0;4;0;0;0;0
